generation,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 1-07312020-1135,3.207,3.752,3.992,3.196,4.013,4.436,4.024,3.614,4.082,3.96,4.926,4.505,3.994,4.264,4.212,4.728,4.534,5.41,5.743,4.822,5.239,5.972,5.903,5.678,4.953,4.277,3.987,4.403,5.076
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 1-08032020-1125,4.288,4.375,4.228,4.474,4.487,4.751,4.497,4.714,4.49,4.039,3.65,3.962,3.717,3.646,4.528,4.97,5.068,4.757,4.558,4.397,5.658,5.416,4.948,4.899,3.989,4.769,4.332,4.861,4.729
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 2-07312020-1225,3.616,3.255,3.834,3.655,3.414,4.155,3.921,3.567,3.712,3.514,3.31,3.493,3.909,3.378,3.252,4.257,4.863,4.291,4.258,4.872,4.202,3.656,4.283,4.427,3.861,4.447,4.455,4.541,4.672
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 2-08032020-1125,4.565,5.177,4.74,4.767,4.568,4.957,4.891,5.114,5.841,4.773,4.392,5.268,5.532,5.17,5.118,5.227,5.271,5.302,5.574,4.875,4.783,4.81,5.403,5.958,6.374,5.475,5.28,5.942,5.175
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 2-08032020-1238,4.221,4.449,4.401,4.501,4.269,4.579,4.62,4.327,4.424,4.389,4.237,4.47,4.185,4.189,4.02,4.443,4.178,4.44,4.578,5.219,4.909,4.657,5.289,4.584,4.659,4.231,4.946,4.536,4.65
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 3-07312020-131,3.441,4.236,3.969,3.631,4.388,3.92,3.809,4.239,4.317,3.162,4.472,4.531,4.285,3.915,4.378,4.025,4.543,4.376,4.021,3.008,4.174,4.421,4.196,4.438,4.267,4.186,4.288,4.477,4.322
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 4-07312020-531,4.431,4.243,4.903,4.29,4.579,5.065,4.837,5.37,4.706,4.893,5.352,4.852,4.803,4.33,5.096,4.586,4.96,5.123,5.348,4.5,4.341,4.663,4.527,5.194,4.978,4.829,4.373,4.67,4.306
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 4-07312020-307,3.618,4.286,4.013,4.073,4.601,3.995,4.66,3.793,4.146,4.282,4.525,4.096,4.747,4.79,4.106,3.812,4.415,4.618,4.499,4.194,4.1,5.162,4.644,4.876,5.13,5.874,5.03,5.205,4.903
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 5-07312020-1135,4.847,4.174,3.892,3.991,4.018,4.731,3.362,4.701,4.357,4.3,4.162,4.093,4.882,5.317,5.957,5.055,5.511,5.736,5.767,4.754,5.392,5.603,5.602,5.569,4.97,5.141,5.05,4.839,5.122
GO000012-F2,AHR 5然 Bap,AHR 5然 Bap-Arena 6-07312020-1225,4.183,4.154,4.166,4.7,5.15,4.216,4.762,5.658,4.539,5.402,4.522,4.852,4.401,4.84,5.091,4.782,4.937,4.673,5.346,5.662,5.329,5.192,5.831,5.18,4.182,4.692,4.841,4.915,5.459
