"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"1"	"BaP_0867"	"BaP_0867_3"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	1	"Fecal"	"s001"	34	1.149
"2"	"BaP_0868"	"BaP_0868_4"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	2	"Fecal"	"s002"	32	0.462
"3"	"BaP_0869"	"BaP_0869_5"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	3	"Fecal"	"s003"	29	1.09
"4"	"BaP_0870"	"BaP_0870_6"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	4	"Fecal"	"s004"	33	0.734
"5"	"BaP_0871"	"BaP_0871_7"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	5	"Fecal"	"s005"	37	1.41
"6"	"BaP_0872"	"BaP_0872_8"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	6	"Fecal"	"s006"	33	0.44
"7"	"BaP_0937"	"BaP_0937_37"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	7	"Fecal"	"s007"	31	0.67
"8"	"BaP_0938"	"BaP_0938_38"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	8	"Fecal"	"s008"	33	0.62
"9"	"BaP_0939"	"BaP_0939_39"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	9	"Fecal"	"s009"	34	0.96
"10"	"BaP_0940"	"BaP_0940_40"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	10	"Fecal"	"s010"	29	0.51
"11"	"BaP_0941"	"BaP_0941_41"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	11	"Fecal"	"s011"	34	0.86
"12"	"BaP_0942"	"BaP_0942_42"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	12	"Fecal"	"s012"	33	0.74
"13"	"BaP_0943"	"BaP_0943_43"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	13	"Fecal"	"s013"	32	0.73
"14"	"BaP_0944"	"BaP_0944_44"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	14	"Fecal"	"s014"	35	0.53
"15"	"BaP_1009"	"BaP_1009_73"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	15	"Fecal"	"s015"	34	0.72
"16"	"BaP_1010"	"BaP_1010_74"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	16	"Fecal"	"s016"	31	0.65
"17"	"BaP_1011"	"BaP_1011_75"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	17	"Fecal"	"s017"	32	0.63
"18"	"BaP_1012"	"BaP_1012_76"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	18	"Fecal"	"s018"	34	0.91
"19"	"BaP_1013"	"BaP_1013_77"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	19	"Fecal"	"s019"	38	1.3
"20"	"BaP_1014"	"BaP_1014_78"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	20	"Fecal"	"s020"	36	0.86
"21"	"BaP_1015"	"BaP_1015_79"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	21	"Fecal"	"s021"	36	1.18
"22"	"BaP_1016"	"BaP_1016_80"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	22	"Fecal"	"s022"	39	1.03
"23"	"BaP_1081"	"BaP_1081_109"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	23	"Fecal"	"s023"	35	1.02
"24"	"BaP_1082"	"BaP_1082_110"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	24	"Fecal"	"s024"	31	0.75
"25"	"BaP_1083"	"BaP_1083_111"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	25	"Fecal"	"s025"	37	1.04
"26"	"BaP_1084"	"BaP_1084_112"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	26	"Fecal"	"s026"	32	0.75
"27"	"BaP_1085"	"BaP_1085_113"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	27	"Fecal"	"s027"	32	0.65
"28"	"BaP_1086"	"BaP_1086_114"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	28	"Fecal"	"s028"	34	0.8
"29"	"BaP_1087"	"BaP_1087_115"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	29	"Fecal"	"s029"	36	1.19
"30"	"BaP_1088"	"BaP_1088_116"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	30	"Fecal"	"s030"	35	0.8
"31"	"BaP_0873"	"BaP_0873_9"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	31	"Fecal"	"s031"	35	1.01
"32"	"BaP_0874"	"BaP_0874_10"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	32	"Fecal"	"s032"	32	0.52
"33"	"BaP_0875"	"BaP_0875_11"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	33	"Fecal"	"s033"	34	0.91
"34"	"BaP_0876"	"BaP_0876_12"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	34	"Fecal"	"s034"	32	0.56
"35"	"BaP_0877"	"BaP_0877_13"	"CoMo_DMSO"	"F0"	"F"	"CoMo"	"DMSO"	35	"Fecal"	"s035"	33	0.8
"36"	"BaP_0878"	"BaP_0878_14"	"CoMo_DMSO"	"F0"	"M"	"CoMo"	"DMSO"	36	"Fecal"	"s036"	36	0.69
"37"	"BaP_0879"	"BaP_0879_15"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	37	"Fecal"	"s037"	36	1.11
"38"	"BaP_0880"	"BaP_0880_16"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	38	"Fecal"	"s038"	35	0.89
"39"	"BaP_0945"	"BaP_0945_45"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	39	"Fecal"	"s039"	31	0.76
"40"	"BaP_0946"	"BaP_0946_46"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	40	"Fecal"	"s040"	32	0.59
"41"	"BaP_0947"	"BaP_0947_47"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	41	"Fecal"	"s041"	36	0.78
"42"	"BaP_0948"	"BaP_0948_48"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	42	"Fecal"	"s042"	31	0.86
"43"	"BaP_0949"	"BaP_0949_49"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	43	"Fecal"	"s043"	32	0.9
"44"	"BaP_0950"	"BaP_0950_50"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	44	"Fecal"	"s044"	34	0.76
"45"	"BaP_0951"	"BaP_0951_51"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	45	"Fecal"	"s045"	36	1.17
"46"	"BaP_0952"	"BaP_0952_52"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	46	"Fecal"	"s046"	32	0.59
"47"	"BaP_1019"	"BaP_1019_83"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	47	"Fecal"	"s049"	36	0.94
"48"	"BaP_1020"	"BaP_1020_84"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	48	"Fecal"	"s050"	34	0.99
"49"	"BaP_1021"	"BaP_1021_85"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	49	"Fecal"	"s051"	35	0.95
"50"	"BaP_1022"	"BaP_1022_86"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	50	"Fecal"	"s052"	34	0.89
"51"	"BaP_1023"	"BaP_1023_87"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	51	"Fecal"	"s053"	35	0.76
"52"	"BaP_1024"	"BaP_1024_88"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	52	"Fecal"	"s054"	37	0.89
"53"	"BaP_1089"	"BaP_1089_117"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	53	"Fecal"	"s055"	35	0.99
"54"	"BaP_1090"	"BaP_1090_118"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	54	"Fecal"	"s056"	29	0.54
"55"	"BaP_1091"	"BaP_1091_119"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	55	"Fecal"	"s057"	32	0.73
"56"	"BaP_1092"	"BaP_1092_120"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	56	"Fecal"	"s058"	35	0.67
"57"	"BaP_1093"	"BaP_1093_121"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	57	"Fecal"	"s059"	36	0.99
"58"	"BaP_1094"	"BaP_1094_122"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	58	"Fecal"	"s060"	32	0.67
"59"	"BaP_1095"	"BaP_1095_123"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	59	"Fecal"	"s061"	37	1.17
"60"	"BaP_1096"	"BaP_1096_124"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	60	"Fecal"	"s062"	33	0.61
"61"	"BaP_0881"	"BaP_0881_17"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	61	"Fecal"	"s063"	35	0.93
"62"	"BaP_0882"	"BaP_0882_18"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	62	"Fecal"	"s064"	34	0.7
"63"	"BaP_0883"	"BaP_0883_19"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	63	"Fecal"	"s065"	36	0.92
"64"	"BaP_0884"	"BaP_0884_20"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	64	"Fecal"	"s066"	34	1.18
"65"	"BaP_0885"	"BaP_0885_21"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	65	"Fecal"	"s067"	33	1.19
"66"	"BaP_0886"	"BaP_0886_22"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	66	"Fecal"	"s068"	32	0.87
"67"	"BaP_0887"	"BaP_0887_23"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	67	"Fecal"	"s069"	31	0.65
"68"	"BaP_0888"	"BaP_0888_24"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	68	"Fecal"	"s070"	37	0.77
"69"	"BaP_0953"	"BaP_0953_53"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	69	"Fecal"	"s071"	31	0.97
"70"	"BaP_0954"	"BaP_0954_54"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	70	"Fecal"	"s072"	32	0.57
"71"	"BaP_0955"	"BaP_0955_55"	"CoMo_BaP"	"F0"	"F"	"CoMo"	"BaP"	71	"Fecal"	"s073"	31	0.92
"72"	"BaP_0956"	"BaP_0956_56"	"CoMo_BaP"	"F0"	"M"	"CoMo"	"BaP"	72	"Fecal"	"s074"	32	0.85
"73"	"BaP_0957"	"BaP_0957_57"	"AHR2Mo_DMSO"	"F0"	"F"	"AHR2Mo"	"DMSO"	73	"Fecal"	"s075"	36	0.68
"74"	"BaP_0958"	"BaP_0958_58"	"AHR2Mo_DMSO"	"F0"	"M"	"AHR2Mo"	"DMSO"	74	"Fecal"	"s076"	37	0.63
